trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-77.23731379750897,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-196.8022272829672,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,13,-128.41886810974123,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-84.60449537505437,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,11,-1.4082563938075352,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-50.69643002053863,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-56.91138122797593,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-48.19531548706934,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-79.25885285468942,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-60.99182603007381,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-105.79093020330762,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,-43.95116001476518,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-32.52842543265625,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,18.611901546326784,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,3.8612977962152977,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-14.281285367261422,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.20869664491954,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-58.33626393334662,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,6,4.637062828663375,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,12.793893112769886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,20,10.811441654786307,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,5.493684979446711,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,10,14.08643107146926,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,18,22.665558420508248,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,1,16.05020149892591,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-83.9195332788118,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,13,13.773512362728006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,15,16.54338470915919,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-21.10514115101684,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,9,-4.865967640885788,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
