trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.9887710779360422}",20,0,-147.23218414626942,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.15, 'e': 0.955336489125606}",20,3,-71.97584631840131,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.15, 'e': 0.9004471023526769}",20,0,-170.9339481748506,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.15, 'e': 0.8253356149096783}",20,0,-114.12852587399833,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.15, 'e': 0.7316888688738209}",20,0,-28.916144408775924,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.15, 'e': 0.6216099682706645}",20,0,-38.24907367564128,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.15, 'e': 0.49757104789172696}",25,0,-26.637412787255982,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.15, 'e': 0.3623577544766736}",20,0,-37.856644844849555,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.15, 'e': 0.21900668709304172}",25,0,-39.20564419862687,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.15, 'e': 0.0707372016677029}",30,0,-46.06823527726365,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.15, 'e': 0.07912088880673386}",25,0,11.876806182298573,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.15, 'e': 0.2272020946930869}",25,0,4.176162381099326,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.15, 'e': 0.3701808313512869}",25,0,-14.964281693396611,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.15, 'e': 0.5048461045998576}",25,0,-171.66047335748033,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.15, 'e': 0.6281736227227391}",20,0,-169.99313638332703,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
16,False,"{'a': 0.15, 'e': 0.7373937155412454}",25,0,-58.958835203148496,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.15, 'e': 0.8300535352352221}",30,5,-109.38250119911339,"{0: 15, 1: 7, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.15, 'e': 0.904072142017061}",20,0,-120.45080713333341,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.15, 'e': 0.9577872375530904}",20,0,-145.80355938846947,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.15, 'e': 0.9899924966004454}",20,2,-35.006545770862665,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.15, 'e': 0.999964658471342}",20,0,-77.76296686244932,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.15, 'e': 0.9874797699088649}",20,0,-94.6560841487646,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.15, 'e': 0.9528182145943048}",25,0,-133.04287203661838,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
24,False,"{'a': 0.15, 'e': 0.8967584163341472}",25,0,-103.74581189523214,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.15, 'e': 0.8205593573395608}",25,0,-112.66603808466289,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.15, 'e': 0.7259323042001402}",30,0,-40.35291199768769,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
27,False,"{'a': 0.15, 'e': 0.6150023765255744}",20,0,-60.531065480777066,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.15, 'e': 0.4902608213406994}",20,0,-78.06896292842575,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.15, 'e': 0.35450906504813195}",35,0,-171.058616126971,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 4}",0
30,False,"{'a': 0.15, 'e': 0.2107957994307797}",25,2,-43.5138849916981,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.15, 'e': 0.06234851460699254}",25,0,33.981209331041086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.15, 'e': 0.0874989834394464}",30,6,11.080232703834888,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.15, 'e': 0.23538144295445118}",25,0,15.807610924571367,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.15, 'e': 0.37797774271298024}",25,14,-1.520147454477026,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.15, 'e': 0.5120854772418407}",30,0,-98.91556459303321,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.15, 'e': 0.634692875942634}",20,3,-172.72598227344665,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 4}",1
37,False,"{'a': 0.15, 'e': 0.7430464409664099}",20,0,-22.39980840569018,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.15, 'e': 0.8347127848391598}",25,0,-77.38820485528936,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.15, 'e': 0.9076332790984132}",30,0,-103.51195203293804,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.15, 'e': 0.960170286650366}",20,0,-105.9823440518806,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.15, 'e': 0.9911439395684689}",20,0,-26.737701403708787,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.15, 'e': 0.9998586363834151}",20,0,-102.93565781841096,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.15, 'e': 0.9861186637925126}",20,0,-90.90199493412176,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
44,False,"{'a': 0.15, 'e': 0.9502325919585296}",25,0,-165.69349636774498,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
