trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.647150625495215,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.96338869711528,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.49915894676295,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.072011582994,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.79341797499256,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.43003141495444,"{0: 6, 1: 2, 2: 8, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.73500846047907,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.56576858283054,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.13058392323893,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.2565915742959,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-268.5025589097331,"{0: 12, 1: 2, 2: 3, 3: 4, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.09943469791577,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,9,-56.97129294501821,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.65949274255489,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.02719716017026,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.06141703318934,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.89658941930122,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.55719212880894,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.45712509022215,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.59821713215236,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.16760833567643,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.67396196193039,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,3,-152.48600465005376,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 3}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.38075690407962,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,6,-83.06635798018382,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-162.49924950572267,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,1,-126.77474593732686,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-213.9385414504173,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-162.8576904307522,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-217.4283979372807,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
